USB PD Specification - Table Structure Summary
==================================================

Table No.  Page   Rows   Columns  Expected Cells  Actual Cells   
----------------------------------------------------------------------
1          2      19     4        76              72             
2          3      6      4        24              21             
3          4      3      4        12              12             
4          36     16     2        32              31             
5          37     18     2        36              36             
6          38     8      2        16              16             
7          39     20     2        40              40             
8          40     26     2        52              50             
9          41     28     2        56              56             
10         42     29     2        58              58             
11         43     31     2        62              62             
12         44     22     2        44              44             
13         45     25     2        50              50             
14         46     28     2        56              56             
15         47     27     2        54              54             
16         48     31     2        62              62             
17         49     32     2        64              64             
18         50     31     2        62              62             
19         51     23     2        46              46             
20         52     16     2        32              32             
21         58     4      5        20              3              
22         58     3      2        6               3              
23         69     3      2        6               2              
24         74     2      2        4               4              
25         74     5      5        25              13             
26         74     2      2        4               2              
27         74     2      2        4               2              
28         74     2      2        4               2              
29         74     2      2        4               2              
30         74     2      2        4               2              
31         74     2      2        4               4              
32         75     4      4        16              12             
33         75     6      5        30              17             
34         76     9      7        63              36             
35         80     33     4        132             115            
36         81     8      2        16              16             
37         82     8      5        40              29             
38         83     4      3        12              8              
39         83     7      4        28              4              
40         84     5      2        10              8              
41         85     5      2        10              8              
42         85     5      2        10              8              
43         86     5      2        10              8              
44         86     5      2        10              8              
45         88     3      23       69              8              
46         88     33     2        66              62             
47         89     5      2        10              8              
48         90     5      2        10              8              
49         91     3      5        15              14             
50         96     10     18       180             0              
51         97     10     18       180             0              
52         97     15     4        60              58             
53         98     10     4        40              37             
54         99     6      12       72              0              
55         100    6      12       72              0              
56         100    6      12       72              0              
57         101    6      12       72              0              
58         101    6      12       72              0              
59         102    6      12       72              0              
60         102    15     4        60              52             
61         103    2      2        4               1              
62         103    2      2        4               1              
63         103    4      3        12              2              
64         103    2      2        4               1              
65         105    4      7        28              16             
66         106    12     7        84              67             
67         110    13     7        91              62             
68         116    10     4        40              37             
69         119    9      5        45              40             
70         120    6      4        24              22             
71         122    4      4        16              10             
72         123    3      11       33              14             
73         124    3      6        18              9              
74         126    4      14       56              21             
75         126    4      6        24              10             
76         126    2      4        8               5              
77         127    4      6        24              10             
78         127    4      10       40              16             
79         128    28     5        140             133            
80         138    17     5        85              84             
81         139    7      3        21              13             
82         140    8      3        24              15             
83         141    13     3        39              38             
84         143    5      2        10              9              
85         143    5      3        15              14             
86         144    5      3        15              14             
87         145    10     3        30              29             
88         146    7      3        21              19             
89         146    8      3        24              22             
90         147    5      2        10              9              
91         148    16     4        64              40             
92         149    5      3        15              14             
93         150    5      3        15              14             
94         150    9      3        27              26             
95         151    6      3        18              16             
96         151    8      3        24              22             
97         155    11     3        33              32             
98         156    11     3        33              32             
99         156    12     3        36              35             
100        156    12     3        36              35             
101        160    9      6        54              45             
102        163    4      3        12              9              
103        164    21     5        105             52             
104        165    8      3        24              24             
105        165    3      3        9               7              
106        167    7      3        21              21             
107        169    2      8        16              9              
108        169    5      3        15              13             
109        170    7      3        21              17             
110        170    5      4        20              14             
111        171    5      4        20              17             
112        171    5      4        20              17             
113        172    2      3        6               3              
114        172    3      3        9               7              
115        172    10     4        40              24             
116        173    9      4        36              23             
117        175    10     4        40              26             
118        176    12     3        36              30             
119        177    5      3        15              12             
120        179    10     3        30              25             
121        180    10     3        30              26             
122        180    5      3        15              13             
123        181    12     3        36              35             
124        184    12     3        36              30             
125        186    3      3        9               8              
126        186    2      6        12              8              
127        187    2      8        16              11             
128        187    2      14       28              20             
129        187    2      4        8               5              
130        196    8      4        32              18             
131        198    15     4        60              28             
132        199    3      3        9               8              
133        201    4      2        8               7              
134        203    16     3        48              42             
135        206    17     5        85              44             
136        212    6      3        18              17             
137        214    6      2        12              11             
138        215    23     5        115             111            
139        216    22     4        88              51             
140        217    25     4        100             54             
141        221    10     4        40              23             
142        222    20     5        100             48             
143        223    20     5        100             38             
144        226    5      5        25              15             
145        227    2      3        6               6              
146        227    2      3        6               6              
147        228    8      5        40              23             
148        230    3      3        9               9              
149        231    4      3        12              11             
150        235    10     4        40              21             
151        237    10     5        50              25             
152        238    5      3        15              13             
153        239    20     6        120             67             
154        240    23     6        138             70             
155        244    3      4        12              9              
156        244    7      6        42              36             
157        245    2      8        16              9              
158        246    2      8        16              9              
159        262    37     6        222             173            
160        263    34     7        238             162            
161        264    31     4        124             124            
162        267    7      3        21              21             
163        267    7      3        21              21             
164        269    11     6        66              34             
165        269    4      7        28              23             
166        274    9      3        27              27             
167        277    2      2        4               0              
168        295    2      4        8               4              
169        298    34     2        68              62             
170        299    24     2        48              44             
171        300    10     3        30              27             
172        301    26     7        182             131            
173        302    26     7        182             134            
174        303    24     7        168             125            
175        304    6      7        42              28             
176        305    20     7        140             101            
177        306    22     7        154             109            
178        307    4      7        28              15             
179        308    12     7        84              46             
180        309    16     6        96              73             
181        310    10     6        60              35             
182        310    5      4        20              8              
183        311    4      5        20              18             
184        312    2      2        4               1              
185        314    4      3        12              1              
186        318    7      8        56              9              
187        319    2      2        4               2              
188        323    11     12       132             14             
189        330    2      2        4               0              
190        332    5      5        25              3              
191        333    4      4        16              2              
192        334    4      4        16              1              
